,stock,sample_mean,interval_left,interval_right
405,PAN,1.0844721104039108,1.0388210984877455,1.1321292568623988
415,ABT,1.0420775122494035,1.009699447593313,1.075493845346041
89,SSB,1.0108401312141095,1.0049854213786802,1.0167289486361046
248,GAB,1.0052759807091942,1.003184269080291,1.0073720537078612
24,VIB,1.0059446896488955,1.002812645360151,1.009086516125242
157,LPB,1.0061195935087206,1.0025130785983924,1.0097390827633004
273,DGC,1.0051147148117825,1.0017832446963821,1.0084572638638576
240,FIR,1.0024022821666767,1.0014395713798039,1.0033659184333144
182,OCB,1.0051978166128541,1.0011881503025752,1.0092235412673265
165,MSB,1.004742467109305,1.0011119913912276,1.0083861085411616
132,PTB,1.0015441147192752,1.0008098527943958,1.0022789153484575
259,GVR,1.003627382036053,1.0007190450971064,1.006544171321132
168,MWG,1.0014148907759246,1.0005784096247106,1.0022520712233753
324,CKG,1.0031760615401688,1.0005389712667838,1.0058201023125446
7,VPG,1.0018914477737344,1.0005260161488758,1.0032587428219244
330,AGG,1.001738906525409,1.0004495223243395,1.0030299524910962
276,DHC,1.001187744589991,1.000438597682344,1.0019374524726847
267,DBC,1.0025962588184656,1.0004181282476363,1.0047791316592016
328,ACB,1.0034883995281423,1.000413718180895,1.006572530631241
2,VNM,1.0009104732837473,1.0004119092404746,1.0014092857907806
247,FTS,1.0015278287077194,1.0004033573411097,1.0026535640003693
127,PNJ,1.001008275228087,1.0003924007406617,1.0016245288681171
180,NVL,1.001207018337185,1.0003909167154172,1.0020237857205525
58,THG,1.0012459758615924,1.000376332625193,1.0021163750928448
288,DRL,1.0011595952150165,1.0003143331914486,1.0020055714819625
25,VIC,1.0008937116297587,1.00030354870543,1.0014842227406733
289,DSN,1.00078251706585,1.000295014222401,1.001270257498229
376,SVI,1.0015243537503824,1.0002171922771945,1.0028332235236577
282,DPG,1.0017301774941652,1.0002121771040637,1.0032504817206296
142,REE,1.0007086194652923,1.0001938908691053,1.0012236129556464
204,HTN,1.0016827715626009,1.0001820659160074,1.0031857289166726
53,TVS,1.0010288243277359,1.000164352047256,1.0018940437977375
226,HPG,1.0007985432305262,1.0001595233697211,1.0014379713725834
215,HCM,1.0009104846997856,1.000144238547252,1.0016773179008103
68,SZC,1.0020971793202869,1.0001424711125202,1.0040557078679426
147,PDR,1.000822380432443,1.000086807845128,1.0015584940398246
155,LIX,1.0007357663263352,1.0000865033430077,1.0013854508156226
45,TRA,1.0007095459401736,1.0000800780552204,1.001339410023218
191,KDC,1.0006425167021042,1.0000517121915038,1.0012336702446254
146,PDN,1.0012283839830554,1.0000420711130813,1.0024161041320492
229,HSG,1.0008432955995277,1.0000377044286848,1.0016495357230366
250,GDT,1.0007890499072984,1.0000366176488746,1.0015420482992954
351,BMP,1.0006456973318216,1.0000324243789924,1.001259346376171
253,GIL,1.0006176930769397,1.0000146703413584,1.0012210794436063
274,DGW,1.001091833333637,1.000012097180878,1.0021727353024525
355,AAT,1.0064566963929746,1.0000084975900196,1.0129464741104117
13,VSC,1.0006011162124062,0.9999930858039027,1.0012095163244437
185,PAC,1.0006512548088764,0.9999922657837649,1.001310678103882
85,SMC,1.0006706396162375,0.9999919999429189,1.0013497398450466
277,DHG,1.0005118196605787,0.9999787634255274,1.0010451600506143
197,KSB,1.0007511255344712,0.9999757538565021,1.0015270984282565
37,VCB,1.0005675067507025,0.9999656916639198,1.0011696840313102
293,DVP,1.0005615224420954,0.9999654421003737,1.00115795810787
109,SJS,1.0007281819162241,0.9999639244262908,1.0014930235167405
